Number of objects: 10000

Initial data:
Circle 36, 20, 50 blue
Circle red Area: 5808.80
Circle indigo Area: 5808.80
Circle yellow Area: 5808.80
Circle red Area: 5541.77
Circle red Area: 5541.77
Circle indigo Area: 5541.77
Circle green Area: 5541.77
Circle indigo Area: 5541.77
Circle indigo Area: 5541.77
Circle orange Area: 5541.77
Circle green Area: 5541.77
Circle orange Area: 5541.77
Circle blue Area: 5541.77
Circle blue Area: 5541.77
Circle red Area: 5541.77
Circle blue Area: 5541.77
Circle green Area: 5541.77
Circle indigo Area: 5541.77
Circle red Area: 5541.77
Circle green Area: 5541.77
Circle indigo Area: 5541.77
Circle violet Area: 5541.77
Circle indigo Area: 5541.77
Circle yellow Area: 5541.77
Circle violet Area: 5541.77
Circle red Area: 5541.77
Circle green Area: 5541.77
Circle red Area: 5541.77
Circle blue Area: 5541.77
Circle yellow Area: 5541.77
Circle orange Area: 5541.77
Circle red Area: 5541.77
Circle indigo Area: 5541.77
Circle red Area: 5541.77
Circle violet Area: 5541.77
Circle green Area: 5541.77
Circle yellow Area: 5541.77
Circle orange Area: 5541.77
Circle orange Area: 5541.77
Circle yellow Area: 5541.77
Circle orange Area: 5541.77
Circle orange Area: 5541.77
Circle indigo Area: 5541.77
Circle blue Area: 5541.77
Circle orange Area: 5541.77
Circle green Area: 5541.77
Circle blue Area: 5541.77
Circle yellow Area: 5541.77
Circle yellow Area: 5541.77
Circle indigo Area: 5541.77
Circle blue Area: 5541.77
Circle indigo Area: 5541.77
Circle blue Area: 5541.77
Circle indigo Area: 5541.77
Circle orange Area: 5541.77
Circle orange Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle indigo Area: 5281.02
Circle indigo Area: 5281.02
Circle orange Area: 5281.02
Circle red Area: 5281.02
Circle blue Area: 5281.02
Circle red Area: 5281.02
Circle blue Area: 5281.02
Circle blue Area: 5281.02
Circle orange Area: 5281.02
Circle red Area: 5281.02
Circle violet Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle indigo Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle orange Area: 5281.02
Circle violet Area: 5281.02
Circle yellow Area: 5281.02
Circle blue Area: 5281.02
Circle orange Area: 5281.02
Circle orange Area: 5281.02
Circle red Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle blue Area: 5281.02
Circle orange Area: 5281.02
Circle violet Area: 5281.02
Circle indigo Area: 5281.02
Circle red Area: 5281.02
Circle green Area: 5281.02
Circle red Area: 5281.02
Circle green Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle red Area: 5281.02
Circle red Area: 5281.02
Circle red Area: 5281.02
Circle violet Area: 5281.02
Circle red Area: 5281.02
Circle indigo Area: 5281.02
Circle violet Area: 5281.02
Circle green Area: 5281.02
Circle violet Area: 5281.02
Circle blue Area: 5281.02
Circle red Area: 5281.02
Circle indigo Area: 5281.02
Circle yellow Area: 5281.02
Circle red Area: 5281.02
Circle green Area: 5281.02
Circle red Area: 5281.02
Circle red Area: 5281.02
Circle orange Area: 5281.02
Circle orange Area: 5281.02
Circle orange Area: 5281.02
Circle violet Area: 5281.02
Circle green Area: 5281.02
Circle red Area: 5281.02
Circle green Area: 5281.02
Circle green Area: 5281.02
Circle red Area: 5281.02
Circle yellow Area: 5026.55
Circle green Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle violet Area: 5026.55
Circle orange Area: 5026.55
Circle yellow Area: 5026.55
Circle orange Area: 5026.55
Circle blue Area: 5026.55
Circle violet Area: 5026.55
Circle indigo Area: 5026.55
Circle indigo Area: 5026.55
Circle indigo Area: 5026.55
Circle blue Area: 5026.55
Circle violet Area: 5026.55
Circle yellow Area: 5026.55
Circle blue Area: 5026.55
Circle orange Area: 5026.55
Circle green Area: 5026.55
Circle red Area: 5026.55
Circle red Area: 5026.55
Circle yellow Area: 5026.55
Circle indigo Area: 5026.55
Circle yellow Area: 5026.55
Circle violet Area: 5026.55
Circle yellow Area: 5026.55
Circle blue Area: 5026.55
Circle red Area: 5026.55
Circle violet Area: 5026.55
Circle blue Area: 5026.55
Circle green Area: 5026.55
Circle blue Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle green Area: 5026.55
Circle red Area: 5026.55
Circle green Area: 5026.55
Circle violet Area: 5026.55
Circle orange Area: 5026.55
Circle red Area: 5026.55
Circle violet Area: 5026.55
Circle violet Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle blue Area: 5026.55
Circle orange Area: 5026.55
Circle green Area: 5026.55
Circle indigo Area: 5026.55
Circle green Area: 5026.55
Circle yellow Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle orange Area: 5026.55
Circle orange Area: 5026.55
Circle yellow Area: 5026.55
Circle blue Area: 5026.55
Circle blue Area: 5026.55
Circle yellow Area: 5026.55
Circle indigo Area: 5026.55
Circle blue Area: 5026.55
Circle violet Area: 5026.55
Circle green Area: 5026.55
Circle indigo Area: 5026.55
Circle indigo Area: 5026.55
Circle yellow Area: 5026.55
Circle green Area: 5026.55
Circle green Area: 5026.55
Circle violet Area: 5026.55
Circle violet Area: 5026.55
Circle blue Area: 5026.55
Circle indigo Area: 5026.55
Circle red Area: 5026.55
Circle red Area: 5026.55
Circle yellow Area: 5026.55
Circle indigo Area: 5026.55
Circle indigo Area: 5026.55
Circle violet Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle green Area: 5026.55
Circle green Area: 5026.55
Circle orange Area: 5026.55
Circle indigo Area: 5026.55
Circle red Area: 5026.55
Circle indigo Area: 4778.36
Circle blue Area: 4778.36
Circle yellow Area: 4778.36
Circle indigo Area: 4778.36
Circle orange Area: 4778.36
Circle indigo Area: 4778.36
Circle yellow Area: 4778.36
Circle red Area: 4778.36
Circle green Area: 4778.36
Circle green Area: 4778.36
Circle orange Area: 4778.36
Circle blue Area: 4778.36
Circle yellow Area: 4778.36
Circle blue Area: 4778.36
Circle indigo Area: 4778.36
Circle yellow Area: 4778.36
Circle orange Area: 4778.36
Circle indigo Area: 4778.36
Circle red Area: 4778.36
Circle indigo Area: 4778.36
Circle yellow Area: 4778.36
Circle yellow Area: 4778.36
Circle blue Area: 4778.36
Circle yellow Area: 4778.36
Circle orange Area: 4778.36
Circle orange Area: 4778.36
Circle violet Area: 4778.36
Circle yellow Area: 4778.36
Circle green Area: 4778.36
Circle red Area: 4778.36
Circle indigo Area: 4778.36
Circle blue Area: 4778.36
Circle red Area: 4778.36
Circle orange Area: 4778.36
Circle violet Area: 4778.36
Circle violet Area: 4778.36
Circle indigo Area: 4778.36
Circle indigo Area: 4778.36
Circle red Area: 4778.36
Circle orange Area: 4778.36
Circle red Area: 4778.36
Circle blue Area: 4778.36
Circle orange Area: 4778.36
Circle indigo Area: 4778.36
Circle indigo Area: 4778.36
Circle green Area: 4778.36
Circle green Area: 4778.36
Circle indigo Area: 4778.36
Circle green Area: 4778.36
Circle orange Area: 4778.36
Circle blue Area: 4778.36
Circle red Area: 4778.36
Circle orange Area: 4778.36
Circle green Area: 4778.36
Circle red Area: 4778.36
Circle green Area: 4778.36
Circle orange Area: 4778.36
Circle orange Area: 4778.36
Circle red Area: 4778.36
Circle indigo Area: 4778.36
Circle violet Area: 4778.36
Circle yellow Area: 4778.36
Circle yellow Area: 4778.36
Circle red Area: 4778.36
Circle violet Area: 4778.36
Circle green Area: 4778.36
Circle yellow Area: 4778.36
Circle indigo Area: 4778.36
Circle yellow Area: 4778.36
Circle indigo Area: 4778.36
Circle green Area: 4778.36
Circle orange Area: 4778.36
Circle violet Area: 4778.36
Circle orange Area: 4778.36
Circle indigo Area: 4536.46
Circle yellow Area: 4536.46
Circle red Area: 4536.46
Circle red Area: 4536.46
Circle yellow Area: 4536.46
Circle orange Area: 4536.46
Circle red Area: 4536.46
Circle yellow Area: 4536.46
Circle red Area: 4536.46
Circle green Area: 4536.46
Circle violet Area: 4536.46
Circle red Area: 4536.46
Circle red Area: 4536.46
Circle yellow Area: 4536.46
Circle indigo Area: 4536.46
Circle yellow Area: 4536.46
Circle red Area: 4536.46
Circle red Area: 4536.46
Circle green Area: 4536.46
Circle yellow Area: 4536.46
Circle red Area: 4536.46
Circle yellow Area: 4536.46
Circle orange Area: 4536.46
Circle violet Area: 4536.46
Circle orange Area: 4536.46
Circle indigo Area: 4536.46
Circle orange Area: 4536.46
Circle yellow Area: 4536.46
Circle indigo Area: 4536.46
Circle yellow Area: 4536.46
Circle orange Area: 4536.46
Circle indigo Area: 4536.46
Circle green Area: 4536.46
Circle orange Area: 4536.46
Circle indigo Area: 4536.46
Circle violet Area: 4536.46
Circle indigo Area: 4536.46
Circle red Area: 4536.46
Circle yellow Area: 4536.46
Circle orange Area: 4536.46
Circle orange Area: 4536.46
Circle green Area: 4536.46
Circle violet Area: 4536.46
Circle blue Area: 4536.46
Circle yellow Area: 4536.46
Circle orange Area: 4536.46
Circle violet Area: 4536.46
Circle green Area: 4536.46
Circle green Area: 4536.46
Circle blue Area: 4536.46
Circle green Area: 4536.46
Circle blue Area: 4536.46
Circle yellow Area: 4536.46
Circle indigo Area: 4536.46
Circle blue Area: 4536.46
Circle violet Area: 4536.46
Circle indigo Area: 4300.84
Circle yellow Area: 4300.84
Circle blue Area: 4300.84
Circle green Area: 4300.84
Circle violet Area: 4300.84
Circle violet Area: 4300.84
Circle indigo Area: 4300.84
Circle green Area: 4300.84
Circle blue Area: 4300.84
Circle indigo Area: 4300.84
Circle violet Area: 4300.84
Circle violet Area: 4300.84
Circle violet Area: 4300.84
Circle green Area: 4300.84
Circle green Area: 4300.84
Circle green Area: 4300.84
Circle indigo Area: 4300.84
Circle orange Area: 4300.84
Circle green Area: 4300.84
Circle indigo Area: 4300.84
Circle blue Area: 4300.84
Circle orange Area: 4300.84
Circle red Area: 4300.84
Circle green Area: 4300.84
Circle indigo Area: 4300.84
Circle green Area: 4300.84
Circle violet Area: 4300.84
Circle orange Area: 4300.84
Circle blue Area: 4300.84
Circle violet Area: 4300.84
Circle indigo Area: 4300.84
Circle indigo Area: 4300.84
Circle indigo Area: 4300.84
Circle indigo Area: 4300.84
Circle yellow Area: 4300.84
Circle indigo Area: 4300.84
Circle violet Area: 4300.84
Circle green Area: 4300.84
Circle orange Area: 4300.84
Circle blue Area: 4300.84
Circle indigo Area: 4300.84
Circle green Area: 4300.84
Circle green Area: 4300.84
Circle green Area: 4300.84
Circle violet Area: 4300.84
Circle yellow Area: 4300.84
Circle violet Area: 4300.84
Circle yellow Area: 4300.84
Circle indigo Area: 4300.84
Circle violet Area: 4300.84
Circle blue Area: 4300.84
Circle yellow Area: 4300.84
Circle orange Area: 4300.84
Circle orange Area: 4300.84
Circle yellow Area: 4300.84
Circle red Area: 4300.84
Circle green Area: 4300.84
Circle yellow Area: 4300.84
Circle red Area: 4300.84
Circle violet Area: 4300.84
Circle red Area: 4300.84
Circle green Area: 4300.84
Circle orange Area: 4300.84
Circle indigo Area: 4300.84
Circle blue Area: 4300.84
Circle violet Area: 4300.84
Circle blue Area: 4300.84
Circle red Area: 4300.84
Circle indigo Area: 4300.84
Circle orange Area: 4300.84
Circle indigo Area: 4300.84
Circle indigo Area: 4300.84
Circle yellow Area: 4300.84
Circle red Area: 4300.84
Circle violet Area: 4300.84
Circle violet Area: 4071.50
Circle yellow Area: 4071.50
Circle blue Area: 4071.50
Circle yellow Area: 4071.50
Circle orange Area: 4071.50
Circle red Area: 4071.50
Circle blue Area: 4071.50
Circle red Area: 4071.50
Circle orange Area: 4071.50
Circle violet Area: 4071.50
Circle red Area: 4071.50
Circle blue Area: 4071.50
Circle indigo Area: 4071.50
Circle yellow Area: 4071.50
Circle red Area: 4071.50
Circle red Area: 4071.50
Circle indigo Area: 4071.50
Circle blue Area: 4071.50
Circle indigo Area: 4071.50
Circle yellow Area: 4071.50
Circle indigo Area: 4071.50
Circle red Area: 4071.50
Circle orange Area: 4071.50
Circle orange Area: 4071.50
Circle red Area: 4071.50
Circle green Area: 4071.50
Circle green Area: 4071.50
Circle red Area: 4071.50
Circle orange Area: 4071.50
Circle violet Area: 4071.50
Circle indigo Area: 4071.50
Circle green Area: 4071.50
Circle yellow Area: 4071.50
Circle blue Area: 4071.50
Circle blue Area: 4071.50
Circle red Area: 4071.50
Circle green Area: 4071.50
Circle red Area: 4071.50
Circle red Area: 4071.50
Circle violet Area: 4071.50
Circle green Area: 4071.50
Circle blue Area: 4071.50
Circle blue Area: 4071.50
Circle violet Area: 4071.50
Circle orange Area: 4071.50
Circle orange Area: 4071.50
Circle yellow Area: 4071.50
Circle orange Area: 4071.50
Circle yellow Area: 4071.50
Circle green Area: 4071.50
Circle yellow Area: 4071.50
Circle blue Area: 4071.50
Circle yellow Area: 4071.50
Circle indigo Area: 4071.50
Circle green Area: 4071.50
Circle indigo Area: 4071.50
Circle blue Area: 4071.50
Circle yellow Area: 4071.50
Circle red Area: 4071.50
Circle indigo Area: 4071.50
Circle yellow Area: 4071.50
Circle orange Area: 4071.50
Circle violet Area: 4071.50
Circle violet Area: 4071.50
Circle red Area: 4071.50
Circle yellow Area: 4071.50
Circle indigo Area: 3848.45
Circle orange Area: 3848.45
Circle green Area: 3848.45
Circle indigo Area: 3848.45
Circle yellow Area: 3848.45
Circle indigo Area: 3848.45
Circle violet Area: 3848.45
Circle violet Area: 3848.45
Circle green Area: 3848.45
Circle indigo Area: 3848.45
Circle violet Area: 3848.45
Circle red Area: 3848.45
Circle yellow Area: 3848.45
Circle violet Area: 3848.45
Circle indigo Area: 3848.45
Circle indigo Area: 3848.45
Circle indigo Area: 3848.45
Circle orange Area: 3848.45
Circle yellow Area: 3848.45
Circle red Area: 3848.45
Circle violet Area: 3848.45
Circle orange Area: 3848.45
Circle blue Area: 3848.45
Circle orange Area: 3848.45
Circle yellow Area: 3848.45
Circle indigo Area: 3848.45
Circle violet Area: 3848.45
Circle blue Area: 3848.45
Circle red Area: 3848.45
Circle green Area: 3848.45
Circle blue Area: 3848.45
Circle violet Area: 3848.45
Circle green Area: 3848.45
Circle red Area: 3848.45
Circle yellow Area: 3848.45
Circle orange Area: 3848.45
Circle blue Area: 3848.45
Circle yellow Area: 3848.45
Circle indigo Area: 3848.45
Circle violet Area: 3848.45
Circle blue Area: 3848.45
Circle violet Area: 3848.45
Circle orange Area: 3848.45
Circle orange Area: 3848.45
Circle blue Area: 3848.45
Circle violet Area: 3848.45
Circle violet Area: 3848.45
Circle yellow Area: 3848.45
Circle violet Area: 3848.45
Circle blue Area: 3848.45
Circle violet Area: 3848.45
Circle green Area: 3848.45
Circle blue Area: 3848.45
Circle indigo Area: 3848.45
Circle violet Area: 3848.45
Circle orange Area: 3848.45
Circle red Area: 3848.45
Circle green Area: 3848.45
Circle blue Area: 3848.45
Circle green Area: 3848.45
Circle green Area: 3848.45
Circle indigo Area: 3848.45
Circle indigo Area: 3848.45
Circle green Area: 3848.45
Triangle orange Area: 3825.50
Triangle blue Area: 3747.50
Circle blue Area: 3631.68
Circle green Area: 3631.68
Circle yellow Area: 3631.68
Circle green Area: 3631.68
Circle orange Area: 3631.68
Circle blue Area: 3631.68
Circle red Area: 3631.68
Circle violet Area: 3631.68
Circle orange Area: 3631.68
Circle yellow Area: 3631.68
Circle orange Area: 3631.68
Circle blue Area: 3631.68
Circle yellow Area: 3631.68
Circle orange Area: 3631.68
Circle orange Area: 3631.68
Circle indigo Area: 3631.68
Circle orange Area: 3631.68
Circle red Area: 3631.68
Circle blue Area: 3631.68
Circle blue Area: 3631.68
Circle orange Area: 3631.68
Circle blue Area: 3631.68
Circle blue Area: 3631.68
Circle blue Area: 3631.68
Circle red Area: 3631.68
Circle yellow Area: 3631.68
Circle violet Area: 3631.68
Circle yellow Area: 3631.68
Circle violet Area: 3631.68
Circle yellow Area: 3631.68
Circle green Area: 3631.68
Circle red Area: 3631.68
Circle violet Area: 3631.68
Circle indigo Area: 3631.68
Circle red Area: 3631.68
Circle green Area: 3631.68
Circle orange Area: 3631.68
Circle violet Area: 3631.68
Circle orange Area: 3631.68
Circle indigo Area: 3631.68
Circle yellow Area: 3631.68
Circle orange Area: 3631.68
Circle yellow Area: 3631.68
Circle orange Area: 3631.68
Circle orange Area: 3631.68
Circle blue Area: 3631.68
Circle red Area: 3631.68
Circle indigo Area: 3631.68
Circle violet Area: 3631.68
Circle indigo Area: 3631.68
Circle yellow Area: 3631.68
Circle indigo Area: 3631.68
Circle orange Area: 3631.68
Circle yellow Area: 3631.68
Circle orange Area: 3631.68
Circle orange Area: 3631.68
Circle yellow Area: 3631.68
Circle blue Area: 3631.68
Circle red Area: 3631.68
Circle violet Area: 3631.68
Circle violet Area: 3631.68
Circle violet Area: 3631.68
Circle red Area: 3631.68
Circle violet Area: 3631.68
Circle indigo Area: 3631.68
Circle indigo Area: 3631.68
Circle orange Area: 3631.68
Circle violet Area: 3631.68
Circle violet Area: 3631.68
Circle red Area: 3631.68
Circle red Area: 3631.68
Triangle red Area: 3562.50
Triangle indigo Area: 3551.50
Triangle red Area: 3541.00
Triangle blue Area: 3519.00
Triangle yellow Area: 3495.00
Triangle violet Area: 3487.50
Triangle red Area: 3438.00
Circle red Area: 3421.19
Circle green Area: 3421.19
Circle violet Area: 3421.19
Circle violet Area: 3421.19
Circle violet Area: 3421.19
Circle red Area: 3421.19
Circle orange Area: 3421.19
Circle blue Area: 3421.19
Circle violet Area: 3421.19
Circle green Area: 3421.19
Circle green Area: 3421.19
Circle orange Area: 3421.19
Circle blue Area: 3421.19
Circle red Area: 3421.19
Circle green Area: 3421.19
Circle green Area: 3421.19
Circle green Area: 3421.19
Circle indigo Area: 3421.19
Circle blue Area: 3421.19
Circle violet Area: 3421.19
Circle blue Area: 3421.19
Circle green Area: 3421.19
Circle blue Area: 3421.19
Circle yellow Area: 3421.19
Circle violet Area: 3421.19
Circle indigo Area: 3421.19
Circle green Area: 3421.19
Circle red Area: 3421.19
Circle red Area: 3421.19
Circle violet Area: 3421.19
Circle red Area: 3421.19
Circle red Area: 3421.19
Circle orange Area: 3421.19
Circle indigo Area: 3421.19
Circle green Area: 3421.19
Circle yellow Area: 3421.19
Circle violet Area: 3421.19
Circle violet Area: 3421.19
Circle indigo Area: 3421.19
Circle blue Area: 3421.19
Circle blue Area: 3421.19
Circle red Area: 3421.19
Circle blue Area: 3421.19
Circle blue Area: 3421.19
Circle indigo Area: 3421.19
Circle red Area: 3421.19
Circle green Area: 3421.19
Circle green Area: 3421.19
Circle green Area: 3421.19
Circle red Area: 3421.19
Circle yellow Area: 3421.19
Circle red Area: 3421.19
Circle blue Area: 3421.19
Circle violet Area: 3421.19
Circle yellow Area: 3421.19
Circle violet Area: 3421.19
Circle green Area: 3421.19
Circle red Area: 3421.19
Circle green Area: 3421.19
Circle red Area: 3421.19
Circle yellow Area: 3421.19
Circle yellow Area: 3421.19
Circle green Area: 3421.19
Circle red Area: 3421.19
Circle blue Area: 3421.19
Triangle blue Area: 3399.00
Triangle green Area: 3379.50
Triangle red Area: 3366.50
Triangle violet Area: 3351.00
Triangle red Area: 3271.00
Circle blue Area: 3216.99
Circle violet Area: 3216.99
Circle blue Area: 3216.99
Circle violet Area: 3216.99
Circle red Area: 3216.99
Circle indigo Area: 3216.99
Circle blue Area: 3216.99
Circle indigo Area: 3216.99
Circle indigo Area: 3216.99
Circle indigo Area: 3216.99
Circle yellow Area: 3216.99
Circle green Area: 3216.99
Circle green Area: 3216.99
Circle indigo Area: 3216.99
Circle yellow Area: 3216.99
Circle green Area: 3216.99
Circle yellow Area: 3216.99
Circle yellow Area: 3216.99
Circle yellow Area: 3216.99
Circle violet Area: 3216.99
Circle orange Area: 3216.99
Circle red Area: 3216.99
Circle blue Area: 3216.99
Circle blue Area: 3216.99
Circle violet Area: 3216.99
Circle red Area: 3216.99
Circle yellow Area: 3216.99
Circle orange Area: 3216.99
Circle red Area: 3216.99
Circle yellow Area: 3216.99
Circle violet Area: 3216.99
Circle red Area: 3216.99
Circle violet Area: 3216.99
Circle violet Area: 3216.99
Circle red Area: 3216.99
Circle yellow Area: 3216.99
Circle yellow Area: 3216.99
Circle yellow Area: 3216.99
Circle indigo Area: 3216.99
Circle indigo Area: 3216.99
Circle violet Area: 3216.99
Circle yellow Area: 3216.99
Circle orange Area: 3216.99
Circle indigo Area: 3216.99
Circle orange Area: 3216.99
Circle blue Area: 3216.99
Circle blue Area: 3216.99
Circle orange Area: 3216.99
Circle yellow Area: 3216.99
Circle orange Area: 3216.99
Circle blue Area: 3216.99
Circle red Area: 3216.99
Circle yellow Area: 3216.99
Circle yellow Area: 3216.99
Circle green Area: 3216.99
Circle orange Area: 3216.99
Circle yellow Area: 3216.99
Circle orange Area: 3216.99
Circle blue Area: 3216.99
Circle yellow Area: 3216.99
Circle red Area: 3216.99
Circle blue Area: 3216.99
Circle indigo Area: 3216.99
Circle orange Area: 3216.99
Circle violet Area: 3216.99
Circle violet Area: 3216.99
Triangle green Area: 3196.50
Triangle yellow Area: 3194.50
Triangle red Area: 3132.50
Triangle blue Area: 3131.00
Triangle orange Area: 3122.00
Triangle orange Area: 3093.00
Triangle yellow Area: 3086.50
Triangle yellow Area: 3081.00
Triangle indigo Area: 3079.00
Triangle yellow Area: 3071.00
Triangle indigo Area: 3064.50
Triangle indigo Area: 3063.00
Triangle red Area: 3062.00
Triangle orange Area: 3040.50
Triangle violet Area: 3035.50
Circle yellow Area: 3019.07
Circle yellow Area: 3019.07
Circle blue Area: 3019.07
Circle orange Area: 3019.07
Circle red Area: 3019.07
Circle orange Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle red Area: 3019.07
Circle blue Area: 3019.07
Circle violet Area: 3019.07
Circle indigo Area: 3019.07
Circle red Area: 3019.07
Circle green Area: 3019.07
Circle violet Area: 3019.07
Circle yellow Area: 3019.07
Circle green Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle green Area: 3019.07
Circle indigo Area: 3019.07
Circle indigo Area: 3019.07
Circle violet Area: 3019.07
Circle violet Area: 3019.07
Circle red Area: 3019.07
Circle green Area: 3019.07
Circle orange Area: 3019.07
Circle blue Area: 3019.07
Circle green Area: 3019.07
Circle violet Area: 3019.07
Circle red Area: 3019.07
Circle blue Area: 3019.07
Circle indigo Area: 3019.07
Circle orange Area: 3019.07
Circle blue Area: 3019.07
Circle orange Area: 3019.07
Circle yellow Area: 3019.07
Circle green Area: 3019.07
Circle orange Area: 3019.07
Circle indigo Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle indigo Area: 3019.07
Circle blue Area: 3019.07
Circle green Area: 3019.07
Circle indigo Area: 3019.07
Circle orange Area: 3019.07
Circle blue Area: 3019.07
Circle yellow Area: 3019.07
Circle green Area: 3019.07
Circle yellow Area: 3019.07
Circle violet Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle indigo Area: 3019.07
Circle indigo Area: 3019.07
Circle green Area: 3019.07
Circle orange Area: 3019.07
Circle blue Area: 3019.07
Circle blue Area: 3019.07
Circle violet Area: 3019.07
Circle blue Area: 3019.07
Circle indigo Area: 3019.07
Circle yellow Area: 3019.07
Triangle violet Area: 2989.00
Triangle violet Area: 2972.00
Triangle orange Area: 2940.00
Triangle red Area: 2927.00
Triangle green Area: 2924.00
Triangle blue Area: 2913.50
Triangle green Area: 2902.00
Triangle violet Area: 2897.00
Triangle violet Area: 2896.00
Triangle green Area: 2894.00
Triangle indigo Area: 2887.00
Triangle violet Area: 2880.00
Triangle violet Area: 2877.50
Triangle orange Area: 2870.00
Triangle violet Area: 2867.00
Triangle orange Area: 2850.50
Triangle green Area: 2839.50
Triangle red Area: 2838.00
Circle red Area: 2827.43
Circle yellow Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle orange Area: 2827.43
Circle yellow Area: 2827.43
Circle yellow Area: 2827.43
Circle orange Area: 2827.43
Circle blue Area: 2827.43
Circle violet Area: 2827.43
Circle blue Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle red Area: 2827.43
Circle indigo Area: 2827.43
Circle violet Area: 2827.43
Circle yellow Area: 2827.43
Circle blue Area: 2827.43
Circle violet Area: 2827.43
Circle orange Area: 2827.43
Circle green Area: 2827.43
Circle green Area: 2827.43
Circle violet Area: 2827.43
Circle green Area: 2827.43
Circle red Area: 2827.43
Circle green Area: 2827.43
Circle green Area: 2827.43
Circle green Area: 2827.43
Circle indigo Area: 2827.43
Circle red Area: 2827.43
Circle green Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle violet Area: 2827.43
Circle green Area: 2827.43
Circle orange Area: 2827.43
Circle red Area: 2827.43
Circle blue Area: 2827.43
Circle blue Area: 2827.43
Circle yellow Area: 2827.43
Circle green Area: 2827.43
Circle red Area: 2827.43
Circle green Area: 2827.43
Circle blue Area: 2827.43
Circle indigo Area: 2827.43
Circle yellow Area: 2827.43
Circle green Area: 2827.43
Circle green Area: 2827.43
Circle green Area: 2827.43
Circle yellow Area: 2827.43
Circle red Area: 2827.43
Circle indigo Area: 2827.43
Circle indigo Area: 2827.43
Circle blue Area: 2827.43
Circle red Area: 2827.43
Circle violet Area: 2827.43
Circle violet Area: 2827.43
Circle blue Area: 2827.43
Circle orange Area: 2827.43
Circle blue Area: 2827.43
Circle green Area: 2827.43
Circle red Area: 2827.43
Circle violet Area: 2827.43
Circle red Area: 2827.43
Circle orange Area: 2827.43
Circle indigo Area: 2827.43
Circle violet Area: 2827.43
Circle green Area: 2827.43
Circle blue Area: 2827.43
Circle green Area: 2827.43
Circle yellow Area: 2827.43
Circle indigo Area: 2827.43
Circle orange Area: 2827.43
Circle orange Area: 2827.43
Triangle blue Area: 2794.50
Triangle violet Area: 2772.00
Triangle blue Area: 2769.00
Triangle indigo Area: 2767.00
Triangle blue Area: 2766.00
Triangle red Area: 2766.00
Triangle indigo Area: 2760.00
Triangle red Area: 2757.00
Triangle violet Area: 2756.00
Triangle violet Area: 2732.00
Triangle blue Area: 2727.00
Triangle indigo Area: 2718.00
Triangle violet Area: 2694.00
Triangle blue Area: 2687.50
Triangle orange Area: 2683.50
Triangle violet Area: 2674.50
Triangle indigo Area: 2673.00
Triangle orange Area: 2664.50
Triangle orange Area: 2659.00
Circle orange Area: 2642.08
Circle blue Area: 2642.08
Circle green Area: 2642.08
Circle yellow Area: 2642.08
Circle green Area: 2642.08
Circle orange Area: 2642.08
Circle violet Area: 2642.08
Circle yellow Area: 2642.08
Circle red Area: 2642.08
Circle blue Area: 2642.08
Circle indigo Area: 2642.08
Circle blue Area: 2642.08
Circle indigo Area: 2642.08
Circle yellow Area: 2642.08
Circle green Area: 2642.08
Circle yellow Area: 2642.08
Circle red Area: 2642.08
Circle blue Area: 2642.08
Circle indigo Area: 2642.08
Circle yellow Area: 2642.08
Circle yellow Area: 2642.08
Circle orange Area: 2642.08
Circle green Area: 2642.08
Circle green Area: 2642.08
Circle indigo Area: 2642.08
Circle yellow Area: 2642.08
Circle green Area: 2642.08
Circle green Area: 2642.08
Circle orange Area: 2642.08
Circle blue Area: 2642.08
Circle orange Area: 2642.08
Circle blue Area: 2642.08
Circle green Area: 2642.08
Circle red Area: 2642.08
Circle orange Area: 2642.08
Circle yellow Area: 2642.08
Circle red Area: 2642.08
Circle green Area: 2642.08
Circle indigo Area: 2642.08
Circle indigo Area: 2642.08
Circle yellow Area: 2642.08
Circle blue Area: 2642.08
Circle violet Area: 2642.08
